Site	Skeleton	Low	High	Fracture
Tirup	412	15	16	No healed fracture
Tirup	125	16	18	No healed fracture
Tirup	277	16	19	No healed fracture
Tirup	147	17	18	No healed fracture
Sortebrdre	551	16	19	Healed fracture
Sortebrdre	143	16	20	No healed fracture
Tirup	296	17	19	No healed fracture
Sortebrdre	5	18	19	No healed fracture
Tirup	154	17	20	No healed fracture
St. Mikkel	48	17	21	No healed fracture
Tirup	214	17	21	No healed fracture
St. Mikkel	47	18	22	No healed fracture
Tirup	91	19	23	No healed fracture
St. Mikkel	165	19	23	No healed fracture
Sortebrdre	75	17	25	Healed fracture
St. Mikkel	90	18	25	No healed fracture
Sortebrdre	387	20	23	No healed fracture
Tirup	472	20	24	No healed fracture
Tirup	269	20	24	No healed fracture
Sortebrdre	457	20	25	No healed fracture
Sortebrdre	244	20	25	No healed fracture
Tirup	75	20	25	No healed fracture
Tirup	227	22	26	No healed fracture
Tirup	471	22	26	No healed fracture
Sortebrdre	80X	20	30	No healed fracture
Sortebrdre	222	20	30	No healed fracture
Sortebrdre	256	23	27	No healed fracture
Sortebrdre	356	23	27	No healed fracture
Sortebrdre	578	23	27	No healed fracture
Sortebrdre	446	23	27	No healed fracture
Sortebrdre	679	23	27	No healed fracture
Sortebrdre	597	23	27	No healed fracture
St. Mikkel	119	22	30	No healed fracture
Tirup	95	24	28	Healed fracture
Tirup	207	24	29	No healed fracture
Sortebrdre	306	23	30	Healed fracture
St. Mikkel	102	25	30	No healed fracture
Sortebrdre	31	25	30	No healed fracture
Sortebrdre	36	25	30	No healed fracture
Sortebrdre	378	25	30	No healed fracture
Sortebrdre	294	25	30	No healed fracture
Sortebrdre	344	25	30	No healed fracture
Tirup	456	24	32	No healed fracture
St. Mikkel	49	24	33	No healed fracture
Tirup	316	25	32	No healed fracture
St. Mikkel	68	25	35	No healed fracture
Sortebrdre	14	25	35	No healed fracture
Sortebrdre	546	25	35	No healed fracture
Tirup	274	25	35	No healed fracture
Tirup	226	26	36	No healed fracture
Tirup	146	27	37	No healed fracture
St. Mikkel	245	30	35	No healed fracture
Sortebrdre	637	30	35	No healed fracture
Tirup	538	25	40	No healed fracture
Sortebrdre	470	30	35	No healed fracture
Sortebrdre	579	25	40	No healed fracture
Tirup	280	27	40	No healed fracture
Tirup	410	28	40	No healed fracture
St. Mikkel	163	30	40	No healed fracture
St. Mikkel	22	30	40	No healed fracture
St. Mikkel	211	30	40	No healed fracture
Sortebrdre	85	30	40	No healed fracture
Sortebrdre	20	30	40	No healed fracture
Sortebrdre	317	30	40	No healed fracture
Sortebrdre	472	30	40	No healed fracture
Sortebrdre	409	30	40	No healed fracture
Sortebrdre	248	30	40	No healed fracture
Sortebrdre	364	30	40	No healed fracture
Tirup	538Y	25	45	No healed fracture
Tirup	145	25	45	No healed fracture
Sortebrdre	21	30	40	Healed fracture
Sortebrdre	337	30	40	Healed fracture
Sortebrdre	13	30	40	Healed fracture
Sortebrdre	639	30	40	Healed fracture
Sortebrdre	8	30	40	Healed fracture
St. Mikkel	155	35	40	No healed fracture
Tirup	249	30	45	No healed fracture
Tirup	196	30	45	No healed fracture
Tirup	441	30	45	No healed fracture
Tirup	295	33	43	No healed fracture
Tirup	86	33	45	No healed fracture
Tirup	318	33	45	No healed fracture
St. Mikkel	44	35	45	No healed fracture
St. Mikkel	45	35	45	No healed fracture
St. Mikkel	197	35	45	No healed fracture
Sortebrdre	12	30	50	No healed fracture
Sortebrdre	26	30	50	No healed fracture
Sortebrdre	84	30	50	No healed fracture
Sortebrdre	31	35	45	No healed fracture
Sortebrdre	49	30	50	No healed fracture
Sortebrdre	1	35	45	No healed fracture
Sortebrdre	641	30	50	No healed fracture
Sortebrdre	236	30	50	No healed fracture
Sortebrdre	Z-127G	30	50	No healed fracture
Tirup	77	35	45	No healed fracture
Tirup	544	30	50	No healed fracture
St. Mikkel	74	35	45	No healed fracture
Tirup	348	35	45	Healed fracture
Sortebrdre	395	35	45	No healed fracture
St. Mikkel	236	35	50	No healed fracture
St. Mikkel	167	35	50	No healed fracture
Sortebrdre	674	35	50	No healed fracture
Sortebrdre	269	35	50	No healed fracture
Sortebrdre	54	35	50	No healed fracture
Tirup	307	35	50	No healed fracture
Tirup	373	35	50	No healed fracture
Tirup	129	35	50	No healed fracture
Tirup	168	35	50	No healed fracture
Sortebrdre	352	35	50	No healed fracture
St. Mikkel	193	35	50	Healed fracture
St. Mikkel	141	40	50	No healed fracture
St. Mikkel	115	40	50	No healed fracture
St. Mikkel	212	40	50	No healed fracture
St. Mikkel	251	40	50	No healed fracture
Sortebrdre	29	40	50	No healed fracture
Sortebrdre	42	40	50	No healed fracture
Sortebrdre	9	40	50	No healed fracture
Sortebrdre	105	40	50	No healed fracture
Sortebrdre	316	40	50	No healed fracture
Sortebrdre	633	40	50	No healed fracture
Sortebrdre	326	40	50	No healed fracture
Sortebrdre	552	40	50	No healed fracture
Sortebrdre	581	40	50	No healed fracture
Sortebrdre	50	40	50	No healed fracture
Sortebrdre	83	40	50	No healed fracture
Sortebrdre	491	40	50	No healed fracture
Sortebrdre	271	30	60	No healed fracture
Sortebrdre	84	30	60	No healed fracture
Sortebrdre	K-41T	30	60	No healed fracture
Sortebrdre	Z-101	30	60	No healed fracture
Sortebrdre	Z-110	30	60	No healed fracture
Sortebrdre	Z-141B	30	60	No healed fracture
Sortebrdre	K-41G	30	60	No healed fracture
Sortebrdre	K-41I	30	60	No healed fracture
Sortebrdre	Z-120	20	70	No healed fracture
Sortebrdre	Z-141G	30	60	No healed fracture
Sortebrdre	Z-156	30	60	No healed fracture
Tirup	91 Gra	38	52	No healed fracture
St. Mikkel	149	40	50	No healed fracture
St. Mikkel	169	40	50	No healed fracture
Sortebrdre	Z-162	30	60	Healed fracture
Sortebrdre	582	40	50	No healed fracture
Tirup	193	35	55	Healed fracture
St. Mikkel	106	40	50	No healed fracture
Tirup	241	37	55	No healed fracture
St. Mikkel	271	40	55	No healed fracture
Sortebrdre	18	45	50	No healed fracture
Sortebrdre	174	40	55	No healed fracture
Tirup	394	40	55	No healed fracture
Tirup	409	40	55	No healed fracture
Tirup	572	40	55	No healed fracture
Tirup	236	40	55	No healed fracture
Tirup	477	40	55	No healed fracture
Sortebrdre	30	45	50	Healed fracture
St. Mikkel	46	40	55	No healed fracture
Sortebrdre	88	40	55	No healed fracture
Tirup	205	40	55	Healed fracture
Sortebrdre	407	40	55	Healed fracture
St. Mikkel	52	40	55	No healed fracture
Sortebrdre	307	45	50	No healed fracture
Tirup	321	43	53	No healed fracture
Tirup	245	42	55	No healed fracture
St. Mikkel	272	40	60	No healed fracture
Sortebrdre	550	45	55	No healed fracture
Sortebrdre	128	45	55	No healed fracture
Sortebrdre	312	40	60	No healed fracture
Sortebrdre	226	40	60	No healed fracture
Sortebrdre	499	40	60	No healed fracture
Sortebrdre	531	40	60	No healed fracture
Sortebrdre	K-41D	30	70	No healed fracture
Sortebrdre	Z-150	40	60	No healed fracture
Tirup	244	45	55	No healed fracture
Tirup	308X	40	60	No healed fracture
Sortebrdre	437	45	55	Healed fracture
Sortebrdre	200	40	60	Healed fracture
Tirup	379	45	55	No healed fracture
Sortebrdre	297	40	60	No healed fracture
Sortebrdre	Z-5A	30	70	Healed fracture
St. Mikkel	5	45	60	No healed fracture
Sortebrdre	25	45	60	No healed fracture
Sortebrdre	478	45	60	No healed fracture
Sortebrdre	153	45	60	No healed fracture
Sortebrdre	471	45	60	No healed fracture
Sortebrdre	205	45	60	No healed fracture
Tirup	189	45	60	No healed fracture
Tirup	470	45	60	No healed fracture
Tirup	115	35	70	No healed fracture
Sortebrdre	234	45	60	No healed fracture
St. Mikkel	59	45	60	No healed fracture
Sortebrdre	27	45	60	No healed fracture
Tirup	188	45	60	No healed fracture
Sortebrdre	22	50	60	No healed fracture
Sortebrdre	367	50	60	No healed fracture
Sortebrdre	354	50	60	No healed fracture
Sortebrdre	101	50	60	No healed fracture
Sortebrdre	483	50	60	No healed fracture
Sortebrdre	595	50	60	No healed fracture
Sortebrdre	598	50	60	No healed fracture
Sortebrdre	126	30	80	No healed fracture
Tirup	134	30	80	No healed fracture
St. Mikkel	192	50	60	No healed fracture
St. Mikkel	60	50	60	No healed fracture
Sortebrdre	Z-141D	40	70	No healed fracture
Sortebrdre	195	50	60	No healed fracture
Sortebrdre	9	50	60	No healed fracture
St. Mikkel	166	50	65	No healed fracture
Tirup	206	50	65	No healed fracture
Tirup	349	50	65	No healed fracture
Tirup	370	50	65	No healed fracture
Sortebrdre	630	50	70	No healed fracture
Sortebrdre	433	50	70	No healed fracture
Sortebrdre	100	50	70	No healed fracture
Sortebrdre	14	50	70	No healed fracture
Sortebrdre	625	50	70	No healed fracture
Sortebrdre	479	50	70	No healed fracture
Sortebrdre	644	50	70	No healed fracture
Sortebrdre	506	50	70	No healed fracture
Sortebrdre	K-41N	50	70	No healed fracture
Sortebrdre	K-41E	50	70	No healed fracture
Tirup	281	50	70	No healed fracture
Tirup	402	55	65	No healed fracture
Sortebrdre	439	50	70	No healed fracture
Tirup	534	55	65	No healed fracture
Sortebrdre	332	50	70	No healed fracture
Tirup	463	55	70	No healed fracture
Sortebrdre	94	60	70	No healed fracture
Sortebrdre	106	60	70	No healed fracture
Sortebrdre	408	60	70	No healed fracture
Sortebrdre	617	60	70	Healed fracture
Sortebrdre	343	60	70	Healed fracture
Sortebrdre	241	60	70	No healed fracture
Sortebrdre	513	60	80	No healed fracture
Tirup	457	60	80	No healed fracture
Tirup	446	60	80	No healed fracture
Tirup	323	65	80	No healed fracture
Tirup	408	65	80	No healed fracture	